Date,Carpentry,Helper,Instructor,Organizer&Instructor,Organizer,URL
2014-05-08,Data,1,0,0,0,NESCENT
2014-09-29,Data,0,1,0,0,http://www.datacarpentry.org/2014-09-29-iDigBio/
2015-04-02,Software,0,1,0,0,https://xuf12.github.io/2015-04-02-umiami/
2015-05-04,Software,0,1,0,0,https://mckays630.github.io/2015-05-04-usfcms/
2015-09-23,Data,0,1,0,0,http://www.datacarpentry.org/2015-09-23-TDWG/
2016-01-21,Instructor,1,0,0,0,https://swcarpentry.github.io/training-florida-2016-01-21/
2016-03-24,Software,0,0,1,0,http://weecology.github.io/2016-03-24-UFII-SWC/
2016-08-17,Software,0,0,1,0,https://acislab.github.io/2016-08-17-UF-Informatics-Institute/
2016-10-17,Data,0,0,0,1,https://weecology.github.io/2016-10-17-uf/
2016-12-03,Software,0,1,0,0,http://idigbio.github.io/2016-12-03-tdwg-costa-rica/
2017-02-06,Software,0,0,1,0,https://acislab.github.io/2017-02-06-UF-Informatics-Institute/
2017-05-22,Instructor,1,0,0,0,https://fmichonneau.github.io/2017-05-22-ttt-UFII/
2017-05-25,Software,0,0,0,1,https://weecology.github.io/2017-05-25-UF/
2017-06-29,Data,1,0,0,0,https://fsulib.github.io/2017-06-29-fsu/
2017-08-14,Software,0,0,1,0,https://uf-carpentry.github.io/2017-08-14-UFII-SwC/
2017-08-15,Data,0,0,0,1,https://uf-carpentry.github.io/2017-08-14-UFII-DC/
2017-09-30,Data,0,0,1,0,https://idigbio.github.io/2017-09-30-TDWG-Ottawa/
2017-10-30,Data,0,0,0,1,https://idigbio.github.io/2017-10-30-iDigBio-Summit-UFII/
2018-01-22,Software,0,0,1,0,https://uf-carpentry.github.io/2018-01-22-UFII/